# time msd_polymer msd_dumbbell msd_dumbbell_x msd_dumbbell_y msd_dumbbell_z
 164320.0000 62241.35075529 190438.37309366 71685.94232219 30367.68884398 88384.74192749
 164330.0000 62244.98123617 190450.11032838 71686.98491990 30366.79759247 88396.32781599
 164340.0000 62248.59952350 190461.54667406 71687.89273124 30365.83349718 88407.82044562
 164350.0000 62252.20872490 190472.96310440 71688.83860231 30364.84698397 88419.27751810
 164360.0000 62255.81673083 190484.48730045 71689.88818897 30363.85075136 88430.74836011
 164370.0000 62259.43957798 190496.03343425 71690.90850166 30362.86350612 88442.26142646
 164380.0000 62263.05248616 190507.63886998 71691.94112980 30361.79682231 88453.90091785
 164390.0000 62266.67734224 190519.06527190 71692.99771602 30360.61118529 88465.45637057
 164400.0000 62270.29797913 190530.48753042 71694.02614565 30359.41161079 88477.04977396
 164410.0000 62273.90827106 190541.90636984 71695.02456940 30358.19268831 88488.68911211
 164420.0000 62277.51763650 190553.15148356 71695.97441045 30356.94521509 88500.23185801
 164430.0000 62281.11435399 190564.27339416 71696.90588446 30355.61616980 88511.75133989
 164440.0000 62284.70884863 190575.42212078 71697.87758868 30354.31040542 88523.23412666
 164450.0000 62288.29021286 190586.65076370 71698.97920740 30353.03191372 88534.63964256
 164460.0000 62291.87688455 190597.91463969 71700.16186008 30351.75361825 88545.99916134
 164470.0000 62295.46408636 190609.43749051 71701.43894318 30350.47414815 88557.52439917
 164480.0000 62299.04924584 190621.16807348 71702.81782968 30349.25369499 88569.09654880
 164490.0000 62302.64108758 190632.89975796 71704.17318236 30348.03168292 88580.69489266
 164500.0000 62306.24709700 190644.76727376 71705.60620021 30346.86435117 88592.29672237
 164510.0000 62309.83485196 190656.58894205 71707.05697084 30345.73907532 88603.79289588
 164520.0000 62313.40539716 190668.27397561 71708.45628359 30344.61107687 88615.20661514
 164530.0000 62316.96790669 190679.84026812 71709.81814229 30343.45428773 88626.56783808
 164540.0000 62320.52951237 190691.30143360 71711.17249153 30342.21113475 88637.91780731
 164550.0000 62324.08729818 190702.76874636 71712.47766309 30340.95579805 88649.33528520
 164560.0000 62327.63434340 190714.14763971 71713.72003320 30339.66304669 88660.76455980
 164570.0000 62331.17591671 190725.59232418 71714.95398688 30338.44443822 88672.19389906
 164580.0000 62334.70670802 190737.09643415 71716.17457102 30337.23321893 88683.68864419
 164590.0000 62338.24692697 190748.43802889 71717.36431762 30335.94377117 88695.12994008
 164600.0000 62341.78540714 190759.73410099 71718.59790877 30334.63046353 88706.50572867
 164610.0000 62345.32642640 190771.23178981 71719.82101667 30333.46724761 88717.94352552
 164620.0000 62348.86929801 190782.75959121 71720.97621568 30332.32913917 88729.45423635
 164630.0000 62352.40992464 190794.19945526 71721.98469103 30331.31754846 88740.89721575
 164640.0000 62355.92828086 190805.67757309 71722.92546540 30330.37586821 88752.37623947
 164650.0000 62359.43536724 190817.15950149 71723.85264382 30329.46663943 88763.84021823
 164660.0000 62362.94429312 190828.74591317 71724.86344078 30328.58563262 88775.29683976
 164670.0000 62366.44689273 190840.15161251 71725.88634373 30327.62935239 88786.63591637
 164680.0000 62369.94903908 190851.59360181 71726.95940585 30326.57135722 88798.06283872
 164690.0000 62373.44579890 190862.87916938 71728.04975484 30325.51110384 88809.31831068
 164700.0000 62376.95360096 190874.29037455 71729.17588036 30324.54914183 88820.56535235
 164710.0000 62380.46223883 190885.69763115 71730.31273149 30323.52721722 88831.85768242
 164720.0000 62383.97642886 190897.08579915 71731.48238437 30322.49703562 88843.10637915
 164730.0000 62387.48868269 190908.35730672 71732.58501989 30321.43185542 88854.34043139
 164740.0000 62390.99898001 190919.68473981 71733.70222382 30320.39111508 88865.59140089
 164750.0000 62394.51996803 190930.97819684 71734.81594962 30319.37286449 88876.78938272
 164760.0000 62398.03899685 190942.17699770 71735.84864119 30318.31120864 88888.01714785
 164770.0000 62401.56020567 190953.44865561 71736.92139333 30317.26931598 88899.25794628
 164780.0000 62405.07684023 190964.58311366 71738.05714366 30316.20566066 88910.32030933
 164790.0000 62408.59802633 190975.74714380 71739.20944879 30315.05619073 88921.48150427
 164800.0000 62412.12564399 190986.84609204 71740.37970097 30313.91909096 88932.54730010
 164810.0000 62415.64631568 190997.98940480 71741.61601254 30312.83769224 88943.53570001
 164820.0000 62419.16124482 191009.29351699 71742.85979432 30311.81312553 88954.62059713
